Sample Name,Cell_type,TISSUE
GSM4217693,ab T Cell,Lung
GSM4217694,ab T Cell,Lung
GSM4217695,ab T Cell,Spleen
GSM4217696,ab T Cell,Spleen
GSM4217697,ab T Cell,Spleen
GSM4217698,ab T Cell,Thymus
GSM4217699,ab T Cell,Thymus
GSM4217700,ab T Cell,Thymus
GSM4217701,ab T Cell,Liver
GSM4217702,ab T Cell,Liver
GSM4217703,ab T Cell,Liver
GSM4217704,ab T Cell,Spleen
GSM4217705,ab T Cell,Spleen
GSM2932488,B Cell,Spleen
GSM2932489,B Cell,Spleen
GSM2932490,B Cell,Spleen
GSM2932491,B Cell,Spleen
GSM2932492,B Cell,Spleen
GSM2932493,B Cell,Bone Marrow
GSM2932494,B Cell,Bone Marrow
GSM2932495,B Cell,Spleen
GSM2932496,B Cell,Spleen
GSM2932497,B Cell,Spleen
GSM2932498,B Cell,Spleen
GSM2932499,B Cell,Spleen
GSM2932500,B Cell,Spleen
GSM2932501,B Cell,Spleen
GSM2932502,B Cell,Spleen
GSM2932503,B Cell,Spleen
GSM2932504,B Cell,Spleen
GSM2932505,B Cell,Spleen
GSM2932506,B Cell,Bone Marrow
GSM2932507,B Cell,Spleen
GSM2932508,B Cell,Spleen
GSM2932509,B Cell,Spleen
GSM2932510,B Cell,Spleen
GSM2932511,B Cell,Spleen
GSM2932512,B Cell,Spleen
GSM3455383,Macrophage,Peritoneal Cavity
GSM3455052,Macrophage,Peritoneal Cavity
GSM2932515,Stromal Cells,Subcutaneous Lymph Node
GSM2932516,Stromal Cells,Subcutaneous Lymph Node
GSM2932517,Stromal Cells,Subcutaneous Lymph Node
GSM2932518,Dendritic Cell,Spleen
GSM2932519,Dendritic Cell,Spleen
GSM2932520,Dendritic Cell,Spleen
GSM2932521,Dendritic Cell,Spleen
GSM2932522,Dendritic Cell,Spleen
GSM2932523,Dendritic Cell,Spleen
GSM2932524,Dendritic Cell,Spleen
GSM2932525,Dendritic Cell,Spleen
GSM2932526,Stromal Cells,Thymus
GSM2932527,Stromal Cells,Thymus
GSM2932528,Stromal Cells,Subcutaneous Lymph Node
GSM2932529,Stromal Cells,Subcutaneous Lymph Node
GSM2932530,Stromal Cells,Subcutaneous Lymph Node
GSM2932531,Granulocytes,Bone Marrow
GSM2932532,Granulocytes,Bone Marrow
GSM2932533,Granulocytes,Spleen
GSM2932534,Granulocytes,Spleen
GSM2932513,B Cell,Peritoneal Cavity
GSM2932514,B Cell,Peritoneal Cavity
GSM2932537,Stromal Cells,Subcutaneous Lymph Node
GSM2932538,Stromal Cells,Subcutaneous Lymph Node
GSM2932539,Innate Lymphocytes,Small Intestine
GSM2932540,Innate Lymphocytes,Small Intestine
GSM2932541,Innate Lymphocytes,Small Intestine
GSM2932542,Innate Lymphocytes,Small Intestine
GSM2932543,Innate Lymphocytes,Lamina Propia
GSM2932544,Innate Lymphocytes,Lamina Propia
GSM2932545,Innate Lymphocytes,Lamina Propia
GSM2932546,Innate Lymphocytes,Lamina Propia
GSM2932547,Innate Lymphocytes,Lamina Propia
GSM2932548,Stromal Cells,Subcutaneous Lymph Node
GSM2932549,Stromal Cells,Subcutaneous Lymph Node
GSM2932550,Stem Cells,Bone Marrow
GSM2932552,Stem Cells,Bone Marrow
GSM2932554,Stem Cells,Bone Marrow
GSM2932555,Stem Cells,Bone Marrow
GSM2932535,Granulocytes,Peritoneal Cavity
GSM2932557,Macrophage,Lung
GSM2932558,Macrophage,Lung
GSM2932536,Granulocytes,Peritoneal Cavity
GSM2932556,Mast Cells,Peritoneal Cavity
GSM2932559,Macrophage,Peritoneal Cavity
GSM2932560,Macrophage,Peritoneal Cavity
GSM2932563,Macrophage,Lung
GSM2932564,Stem Cells,Bone Marrow
GSM2932565,Stem Cells,Bone Marrow
GSM2932566,Stem Cells,Bone Marrow
GSM2932567,Stem Cells,Bone Marrow
GSM2932568,Stem Cells,Bone Marrow
GSM2932569,Innate Lymphocytes,Bone Marrow
GSM2932570,Innate Lymphocytes,Bone Marrow
GSM2932571,Innate Lymphocytes,Spleen
GSM2932572,Innate Lymphocytes,Bone Marrow
GSM2932573,Innate Lymphocytes,Bone Marrow
GSM2932574,Innate Lymphocytes,Spleen
GSM2932575,Innate Lymphocytes,Spleen
GSM2932576,Innate Lymphocytes,Bone Marrow
GSM2932577,Innate Lymphocytes,Bone Marrow
GSM2932578,Innate Lymphocytes,Spleen
GSM2932579,Innate Lymphocytes,Spleen
GSM2932580,ab T Cell,Spleen
GSM2932581,ab T Cell,Spleen
GSM2932582,ab T Cell,Spleen
GSM2932583,ab T Cell,Spleen
GSM2932584,ab T Cell,Spleen
GSM2932585,ab T Cell,Spleen
GSM2932586,ab T Cell,Thymus
GSM2932587,ab T Cell,Thymus
GSM2932588,ab T Cell,Thymus
GSM2932589,ab T Cell,Thymus
GSM2932590,ab T Cell,Thymus
GSM2932591,ab T Cell,Thymus
GSM2932592,ab T Cell,Thymus
GSM2932593,B Cell,Bone Marrow
GSM2932594,B Cell,Bone Marrow
GSM2932595,B Cell,Bone Marrow
GSM2932596,B Cell,Bone Marrow
GSM2932597,B Cell,Bone Marrow
GSM2932598,B Cell,Bone Marrow
GSM2932599,Stem Cells,Bone Marrow
GSM2932600,Stem Cells,Bone Marrow
GSM2932601,ab T Cell,Spleen
GSM2932602,ab T Cell,Spleen
GSM2932603,ab T Cell,Spleen
GSM2932604,ab T Cell,Spleen
GSM2932605,ab T Cell,Spleen
GSM2932606,ab T Cell,Spleen
GSM2932607,ab T Cell,Thymus
GSM2932608,ab T Cell,Thymus
GSM2932609,ab T Cell,Spleen
GSM2932610,ab T Cell,Spleen
GSM2932611,ab T Cell,Thymus
GSM2932612,ab T Cell,Thymus
GSM2932613,ab T Cell,Thymus
GSM2932614,ab T Cell,Thymus
GSM2932615,ab T Cell,Thymus
GSM2932616,ab T Cell,Thymus
GSM2932617,ab T Cell,Thymus
GSM2932618,ab T Cell,Thymus
GSM2932619,ab T Cell,Gut
GSM2932620,ab T Cell,Gut
GSM2932621,ab T Cell,Spleen
GSM2932622,ab T Cell,Spleen
GSM2932623,ab T Cell,Spleen
GSM2932624,ab T Cell,Spleen
GSM2932625,ab T Cell,Spleen
GSM2932626,ab T Cell,Spleen
GSM2932627,ab T Cell,Spleen
GSM2932628,ab T Cell,Spleen
GSM2932629,ab T Cell,Spleen
GSM2932630,gd T cells,Thymus
GSM2932631,gd T cells,Thymus
GSM2932632,gd T cells,Lymph Node
GSM2932633,gd T cells,Lymph Node
GSM2932634,gd T cells,Thymus
GSM2932635,gd T cells,Thymus
GSM2932636,gd T cells,Lymph Node
GSM2932637,gd T cells,Lymph Node
GSM2932638,gd T cells,Thymus
GSM2932639,gd T cells,Lymph Node
GSM2932640,gd T cells,Lymph Node
GSM2932641,gd T cells,Spleen
GSM2932642,gd T cells,Spleen
GSM2932643,ab T Cell,Spleen
GSM2932644,ab T Cell,Spleen
GSM2932645,ab T Cell,Colon
GSM2932646,ab T Cell,Colon
GSM2932561,Macrophage,Peritoneal Cavity
GSM2932562,Macrophage,Peritoneal Cavity
GSM4057889,Macrophage,Brain
GSM4057890,Macrophage,Brain
GSM4057891,Macrophage,Spleen
GSM4057892,Macrophage,Spleen
GSM4057893,Macrophage,Adipose Tissue
GSM4057894,Macrophage,Adipose Tissue
GSM4057887,Macrophage,Peritoneal Cavity
GSM4057888,Macrophage,Peritoneal Cavity
GSM4057897,Monocyte,Blood
GSM4057898,Monocyte,Blood
GSM4057899,Monocyte,Blood
GSM4057900,Monocyte,Blood
GSM4057895,Macrophage,Peritoneal Cavity
GSM4057896,Macrophage,Peritoneal Cavity
GSM4057903,Eosinophil,Spleen
GSM4057904,Eosinophil,Spleen
GSM4057905,Basophils,Spleen
GSM4057906,Basophils,Spleen
GSM4057907,Basophils,Spleen
GSM4057908,Mast Cells,Heart
GSM4057909,Mast Cells,Heart
GSM4057901,Eosinophil,Peritoneal Cavity
GSM4057902,Eosinophil,Peritoneal Cavity
GSM4057910,Mast Cells,Peritoneal Cavity
GSM4057911,Mast Cells,Peritoneal Cavity
GSM4057912,Mast Cells,Peritoneal Cavity
GSM4057913,Mast Cells,Peritoneal Cavity
GSM4057914,Mast Cells,Peritoneal Cavity
GSM4057915,Mast Cells,Peritoneal Cavity
GSM4057916,Mast Cells,Peritoneal Cavity
GSM4057917,Mast Cells,Peritoneal Cavity
GSM4057918,Mast Cells,Peritoneal Cavity
GSM4057919,Mast Cells,Peritoneal Cavity
GSM3475569,NK Cell,Spleen
GSM3475570,T Cell,Spleen
GSM3475571,T Cell,Spleen
GSM3475572,T Cell,Spleen
GSM3475573,T Cell,Spleen
GSM3475574,T Cell,Spleen
GSM3475575,T Cell,Spleen
GSM3475576,T Cell,Spleen
GSM3475577,T Cell,Spleen
GSM3475578,T Cell,Spleen
GSM3475579,T Cell,Spleen
GSM3475580,T Cell,Spleen
GSM3475581,T Cell,Spleen
GSM3475582,T Cell,Spleen
GSM3475583,T Cell,Spleen
GSM3475584,T Cell,Spleen
GSM3475585,T Cell,Spleen
GSM3475586,T Cell,Spleen
GSM3475587,T Cell,Spleen
GSM3475588,T Cell,Spleen
GSM3475589,T Cell,Spleen
GSM3475590,T Cell,Spleen
GSM3475591,T Cell,Spleen
GSM3475592,T Cell,Spleen
GSM3475593,T Cell,Spleen
GSM3475594,T Cell,Spleen
GSM3475595,T Cell,Spleen
GSM3475513,B Cell,Spleen
GSM3475514,B Cell,Spleen
GSM3475515,B Cell,Spleen
GSM3475516,B Cell,Spleen
GSM3475517,B Cell,Spleen
GSM3475518,B Cell,Spleen
GSM3475519,B Cell,Spleen
GSM3475520,B Cell,Spleen
GSM3475521,B Cell,Spleen
GSM3475522,B Cell,Spleen
GSM3475523,B Cell,Spleen
GSM3475524,B Cell,Spleen
GSM3475525,B Cell,Spleen
GSM3475526,B Cell,Spleen
GSM3475527,B Cell,Spleen
GSM4057920,Mast Cells,Peritoneal Cavity
GSM4057921,Mast Cells,Peritoneal Cavity
GSM3475528,Macrophage,Peritoneal Cavity
GSM3475529,Macrophage,Peritoneal Cavity
GSM3475530,Macrophage,Peritoneal Cavity
GSM3475531,Macrophage,Peritoneal Cavity
GSM3475532,Macrophage,Peritoneal Cavity
GSM3475533,Macrophage,Peritoneal Cavity
GSM3475534,Macrophage,Peritoneal Cavity
GSM3475535,Macrophage,Peritoneal Cavity
GSM3475536,Macrophage,Peritoneal Cavity
GSM3475537,Macrophage,Peritoneal Cavity
GSM3475538,Macrophage,Peritoneal Cavity
GSM3475539,Macrophage,Peritoneal Cavity
GSM3475540,Macrophage,Peritoneal Cavity
GSM3475541,Macrophage,Peritoneal Cavity
GSM3475544,Macrophage,Spleen
GSM3475545,Macrophage,Spleen
GSM3475542,Macrophage,Peritoneal Cavity
GSM3475543,Macrophage,Peritoneal Cavity
GSM3475546,Macrophage,Peritoneal Cavity
GSM3475547,Macrophage,Peritoneal Cavity
GSM3475548,Macrophage,Peritoneal Cavity
GSM3475549,Macrophage,Peritoneal Cavity
GSM3475552,NK Cell,Spleen
GSM3475553,NK Cell,Spleen
GSM3475554,NK Cell,Spleen
GSM3475555,NK Cell,Spleen
GSM3475556,NK Cell,Spleen
GSM3475557,NK Cell,Spleen
GSM3475558,NK Cell,Spleen
GSM3475559,NK Cell,Spleen
GSM3475560,NK Cell,Spleen
GSM3475561,NK Cell,Spleen
GSM3475562,NK Cell,Spleen
GSM3475563,NK Cell,Spleen
GSM3475564,NK Cell,Spleen
GSM3475565,NK Cell,Spleen
GSM3475566,NK Cell,Spleen
GSM3475567,NK Cell,Spleen
GSM3475568,NK Cell,Spleen
GSM3455025,Macrophage,Aorta
GSM3455026,Macrophage,Aorta
GSM3455027,Macrophage,Aorta
GSM3455028,Macrophage,Aorta
GSM3455029,Macrophage,Aorta
GSM3455030,Macrophage,Aorta
GSM3455031,Macrophage,Aorta
GSM3455032,Macrophage,Aorta
GSM3455033,Macrophage,Aorta
GSM3475550,Macrophage,Peritoneal Cavity
GSM3475551,Macrophage,Peritoneal Cavity
GSM3455034,Macrophage,Peritoneal Cavity
GSM3455035,Macrophage,Peritoneal Cavity
GSM3455036,Macrophage,Peritoneal Cavity
GSM3455037,Macrophage,Peritoneal Cavity
GSM3455038,Macrophage,Peritoneal Cavity
GSM3455039,Macrophage,Peritoneal Cavity
GSM3455040,Macrophage,Peritoneal Cavity
GSM3455041,Macrophage,Peritoneal Cavity
GSM3455042,Macrophage,Peritoneal Cavity
GSM3455043,Macrophage,Peritoneal Cavity
GSM3455046,Macrophage,yolk sac
GSM3455047,Macrophage,yolk sac
GSM3455048,Macrophage,Cell (Embryonic Body)
GSM3455049,Macrophage,Cell (Embryonic Body)
GSM3455050,Macrophage,Cell (Embryonic Body)
GSM3455051,Macrophage,Cell (Embryonic Body)
GSM3455044,Macrophage,Peritoneal Cavity
GSM3455053,Dendritic Cell,Spleen
GSM3455054,Dendritic Cell,Spleen
GSM3455055,Dendritic Cell,Spleen
GSM3455056,Dendritic Cell,Spleen
GSM3455057,Dendritic Cell,Spleen
GSM3455058,Dendritic Cell,Spleen
GSM3455059,Dendritic Cell,Spleen
GSM3455060,Dendritic Cell,Spleen
GSM3455061,Dendritic Cell,Spleen
GSM3455062,Dendritic Cell,Spleen
GSM3455063,Dendritic Cell,Spleen
GSM3455064,Dendritic Cell,Spleen
GSM3455045,Macrophage,Peritoneal Cavity
GSM3455065,Macrophage,Peritoneal Cavity
GSM3455067,Dendritic Cell,Thymus
GSM3455068,Dendritic Cell,Thymus
GSM3455069,Dendritic Cell,Thymus
GSM3455070,Dendritic Cell,Thymus
GSM3455071,Dendritic Cell,Thymus
GSM3455072,Dendritic Cell,Thymus
GSM3455073,Dendritic Cell,Thymus
GSM3455074,Dendritic Cell,Thymus
GSM3455075,Macrophage,Thymus
GSM3455076,Macrophage,Thymus
GSM3455077,Macrophage,Thymus
GSM3455078,Macrophage,Thymus
GSM3455066,Macrophage,Peritoneal Cavity
GSM3455079,Macrophage,Peritoneal Cavity
GSM3455080,Macrophage,Peritoneal Cavity
GSM3455081,Macrophage,Peritoneal Cavity
GSM3455082,Macrophage,Peritoneal Cavity
GSM3455083,Macrophage,Peritoneal Cavity
