"interaction","cell1","cell2","p-value"
"EGF_EGFR_ERBB2","Peritoneal Cavity","Peritoneal Cavity","0"
"EGF_EGFR_ERBB2","Spleen","Peritoneal Cavity","0"
"BTC_EGFR","Peritoneal Cavity","Peritoneal Cavity","0"
"BTC_EGFR","Spleen","Peritoneal Cavity","0"
"BTC_EGFR_ERBB2","Peritoneal Cavity","Peritoneal Cavity","0"
"BTC_EGFR_ERBB2","Spleen","Peritoneal Cavity","0"
"BTC_ERBB2_ERBB4","Peritoneal Cavity","Peritoneal Cavity","0"
"BTC_ERBB2_ERBB4","Spleen","Peritoneal Cavity","0"
"HBEGF_EGFR","Peritoneal Cavity","Peritoneal Cavity","0"
"HBEGF_EGFR","Spleen","Peritoneal Cavity","0"
"HBEGF_EGFR_ERBB2","Peritoneal Cavity","Peritoneal Cavity","0"
"HBEGF_EGFR_ERBB2","Spleen","Peritoneal Cavity","0"
"HBEGF_ERBB2_ERBB4","Peritoneal Cavity","Peritoneal Cavity","0"
"HBEGF_ERBB2_ERBB4","Peritoneal Cavity","Spleen","0"
"EREG_EGFR","Peritoneal Cavity","Peritoneal Cavity","0"
"EREG_EGFR","Spleen","Peritoneal Cavity","0"
"EREG_EGFR_ERBB2","Peritoneal Cavity","Peritoneal Cavity","0"
"EREG_EGFR_ERBB2","Spleen","Peritoneal Cavity","0"
"EREG_ERBB2_ERBB4","Peritoneal Cavity","Peritoneal Cavity","0"
"EREG_ERBB2_ERBB4","Spleen","Peritoneal Cavity","0"
"NRG3_ERBB2_ERBB4","Spleen","Peritoneal Cavity","0"
"NRG4_ERBB2_ERBB4","Peritoneal Cavity","Peritoneal Cavity","0"
"NRG4_ERBB2_ERBB4","Spleen","Peritoneal Cavity","0.01"
"FGF10_FGFR2","Spleen","Spleen","0"
"FGF22_FGFR2",NA,NA,NA
"FGF22_FGFR2","FGF22_FGFR2","FGF22_FGFR2","FGF22_FGFR2"
"FGF9_FGFR2","Peritoneal Cavity","Peritoneal Cavity","0"
"FGF9_FGFR2","Peritoneal Cavity","Spleen","0"
"VEGFA_VEGFR1","Spleen","Spleen","0"
"VEGFB_VEGFR1","Spleen","Spleen","0"
"VEGFC_VEGFR3","Spleen","Peritoneal Cavity","0"
"VEGFC_VEGFR3","Spleen","Spleen","0.02"
"PGF_VEGFR1","Peritoneal Cavity","Spleen","0"
"VEGFA_VEGFR1R2","Spleen","Spleen","0"
"VEGFC_VEGFR2R3","Spleen","Peritoneal Cavity","0"
"VEGFC_VEGFR2R3","Spleen","Spleen","0.02"
"IGF1_IGF1R","Peritoneal Cavity","Peritoneal Cavity","0"
"IGF1_IGF1R","Peritoneal Cavity","Spleen","0"
"IGF1_ITGAV_ITGB3","Peritoneal Cavity","Peritoneal Cavity","0"
"IGF1_ITGAV_ITGB3","Peritoneal Cavity","Spleen","0"
"INS2_INSSR","Peritoneal Cavity","Peritoneal Cavity","0"
"INS2_INSSR","Spleen","Peritoneal Cavity","0"
"CCL5_CCR1L1","Spleen","Peritoneal Cavity","0"
"CCL5_CCR1L1","Spleen","Spleen","0.02"
"CCL3_CCR1L1","Peritoneal Cavity","Peritoneal Cavity","0.03"
"CCL3_CCR1L1","Spleen","Peritoneal Cavity","0"
"CCL3_CCR1L1","Spleen","Spleen","0.02"
"CCL7_CCR1L1","Peritoneal Cavity","Peritoneal Cavity","0"
"CCL7_CCR1L1","Spleen","Peritoneal Cavity","0"
"CCL5_CCR3","Spleen","Peritoneal Cavity","0"
"CCL5_CCR3","Spleen","Spleen","0.02"
"CCL7_CCR3","Peritoneal Cavity","Peritoneal Cavity","0"
"CCL7_CCR3","Spleen","Peritoneal Cavity","0"
"CCL11_CCR3","Peritoneal Cavity","Peritoneal Cavity","0"
"CCL11_CCR3","Spleen","Peritoneal Cavity","0"
"CCL26_CCR3","Peritoneal Cavity","Peritoneal Cavity","0"
"CCL26_CCR3","Spleen","Peritoneal Cavity","0"
"CCL27A_CCR3","Spleen","Peritoneal Cavity","0"
"CXCL1_CXCR1","Peritoneal Cavity","Peritoneal Cavity","0"
"CXCL1_CXCR1","Peritoneal Cavity","Spleen","0"
"CXCL2_CXCR1","Peritoneal Cavity","Peritoneal Cavity","0"
"CXCL2_CXCR1","Peritoneal Cavity","Spleen","0"
"CXCL3_CXCR1","Peritoneal Cavity","Peritoneal Cavity","0.04"
"CXCL3_CXCR1","Peritoneal Cavity","Spleen","0"
"CXCL10_CXCR3","Spleen","Spleen","0"
"CXCL13_CXCR3","Peritoneal Cavity","Spleen","0"
"CXCL12_CXCR4","Peritoneal Cavity","Spleen","0"
"CXCL12_ACKR3","Peritoneal Cavity","Peritoneal Cavity","0"
"CXCL16_CXCR6","Peritoneal Cavity","Peritoneal Cavity","0"
"CXCL16_CXCR6","Peritoneal Cavity","Spleen","0"
"MIF_CD74_CXCR4","Peritoneal Cavity","Spleen","0"
"MIF_CD74_CXCR4","Spleen","Spleen","0"
"MIF_ACKR3","Peritoneal Cavity","Peritoneal Cavity","0"
"MIF_ACKR3","Spleen","Peritoneal Cavity","0"
"IL7_IL7R_IL2RG","Peritoneal Cavity","Spleen","0"
"IL15_IL15RA_IL2RB","Peritoneal Cavity","Spleen","0"
"IL21_IL21R_IL2RG","Peritoneal Cavity","Spleen","0.01"
"IL21_IL21R_IL2RG","Spleen","Spleen","0"
"TSLP_IL7R_CRLF2","Peritoneal Cavity","Spleen","0"
"IL6_IL6R_IL6ST","Peritoneal Cavity","Peritoneal Cavity","0"
"IL6_IL6R_IL6ST","Peritoneal Cavity","Spleen","0"
"IL12B_IL12RB1_IL12RB2","Spleen","Spleen","0"
"IL23A_IL23R_IL12RB1","Peritoneal Cavity","Spleen","0"
"IL23A_IL23R_IL12RB1","Spleen","Spleen","0"
"EBI3_IL27RA_IL6ST","Peritoneal Cavity","Peritoneal Cavity","0"
"EBI3_IL27RA_IL6ST","Peritoneal Cavity","Spleen","0"
"CLCF1_CNTFR_LIFR","Spleen","Peritoneal Cavity","0"
"OSM_LIFR_IL6ST","Peritoneal Cavity","Peritoneal Cavity","0"
"OSM_LIFR_IL6ST","Spleen","Peritoneal Cavity","0"
"IL10_IL10RA_IL10RB","Peritoneal Cavity","Peritoneal Cavity","0"
"IL10_IL10RA_IL10RB","Peritoneal Cavity","Spleen","0"
"IL24_IL20RA_IL20RB",NA,NA,NA
"IL24_IL20RA_IL20RB","IL24_IL20RA_IL20RB","IL24_IL20RA_IL20RB","IL24_IL20RA_IL20RB"
"IL24_IL22RA1_IL20RB","Spleen","Peritoneal Cavity","0"
"IL1A_IL1R1_IL1RAP","Peritoneal Cavity","Peritoneal Cavity","0"
"IL1A_IL1R1_IL1RAP","Peritoneal Cavity","Spleen","0"
"IL1B_IL1R1_IL1RAP","Peritoneal Cavity","Peritoneal Cavity","0"
"IL1B_IL1R1_IL1RAP","Spleen","Peritoneal Cavity","0"
"IL18_IL18R1_IL18RAP","Peritoneal Cavity","Spleen","0"
"IL33_IL1RL1_IL1RAP","Peritoneal Cavity","Peritoneal Cavity","0"
"IL33_IL1RL1_IL1RAP","Spleen","Peritoneal Cavity","0"
"IL17C_IL17RA_IL17RE","Spleen","Spleen","0"
"IL16_CD4","Spleen","Spleen","0"
"GH1_GHR","Peritoneal Cavity","Peritoneal Cavity","0"
"GH1_GHR","Spleen","Peritoneal Cavity","0"
"IFNK_IFNAR1_IFNAR2","Peritoneal Cavity","Peritoneal Cavity","0"
"IFNK_IFNAR1_IFNAR2","Spleen","Peritoneal Cavity","0.01"
"IFNK_IFNAR1_IFNAR2","Peritoneal Cavity","Spleen","0"
"IFNG_IFNGR1_IFNGR2","Spleen","Peritoneal Cavity","0"
"IFNG_IFNGR1_IFNGR2","Spleen","Spleen","0.04"
"LTA_LTB_LTBR","Spleen","Peritoneal Cavity","0"
"FASL_FAS","Spleen","Peritoneal Cavity","0"
"FASL_FAS","Spleen","Spleen","0.02"
"TNFSF10_TNFRSF10B","Spleen","Spleen","0"
"EDA_EDA2R","Peritoneal Cavity","Spleen","0"
"TNFSF11_TNFRSF11A","Peritoneal Cavity","Peritoneal Cavity","0"
"TNFSF11_TNFRSF11A","Spleen","Peritoneal Cavity","0"
"TNFSF12_TNFRSF12A","Peritoneal Cavity","Peritoneal Cavity","0"
"TNFSF12_TNFRSF12A","Peritoneal Cavity","Spleen","0"
"TNFSF8_TNFRSF8","Spleen","Peritoneal Cavity","0"
"TNFSF9_TNFRSF9","Peritoneal Cavity","Spleen","0"
"TNFSF4_TNFRSF4","Spleen","Spleen","0"
"TNFSF18_TNFRSF18","Spleen","Spleen","0"
"TNFSF13_TNFRSF17","Peritoneal Cavity","Peritoneal Cavity","0"
"TNFSF13_TNFRSF17","Peritoneal Cavity","Spleen","0"
"TNFSF13_TNFRSF13B","Peritoneal Cavity","Peritoneal Cavity","0"
"TNFSF13_TNFRSF13B","Peritoneal Cavity","Spleen","0"
"TNFSF13B_TNFRSF17","Peritoneal Cavity","Peritoneal Cavity","0"
"TNFSF13B_TNFRSF17","Peritoneal Cavity","Spleen","0"
"TNFSF13B_TNFRSF13B","Peritoneal Cavity","Peritoneal Cavity","0"
"TNFSF13B_TNFRSF13B","Peritoneal Cavity","Spleen","0"
"TNFSF13B_TNFRSF13C","Peritoneal Cavity","Spleen","0"
"CD40LG_ITGA2B_ITGB3","Spleen","Peritoneal Cavity","0.03"
"CD40LG_ITGA2B_ITGB3","Spleen","Spleen","0"
"CD40LG_ITGA5_ITGB1","Spleen","Peritoneal Cavity","0"
"SPP1_ITGAV_ITGB3","Peritoneal Cavity","Peritoneal Cavity","0"
"SPP1_ITGAV_ITGB3","Peritoneal Cavity","Spleen","0"
"SPP1_ITGAV_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"SPP1_ITGAV_ITGB1","Peritoneal Cavity","Spleen","0"
"SPP1_ITGAV_ITGB5","Peritoneal Cavity","Peritoneal Cavity","0"
"SPP1_ITGAV_ITGB5","Peritoneal Cavity","Spleen","0"
"SPP1_ITGAV_ITGB6","Peritoneal Cavity","Peritoneal Cavity","0"
"SPP1_ITGAV_ITGB6","Peritoneal Cavity","Spleen","0"
"SPP1_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"SPP1_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0.01"
"SPP1_ITGA9_ITGB1","Peritoneal Cavity","Spleen","0.01"
"SPP1_ITGA8_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"SPP1_ITGA8_ITGB1","Peritoneal Cavity","Spleen","0"
"SPP1_ITGA5_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"SPP1_ITGA5_ITGB1","Peritoneal Cavity","Spleen","0"
"RETN_TLR4","Peritoneal Cavity","Peritoneal Cavity","0"
"RETN_TLR4","Spleen","Peritoneal Cavity","0"
"NAMPT_INSR","Peritoneal Cavity","Peritoneal Cavity","0"
"NAMPT_INSR","Spleen","Peritoneal Cavity","0"
"NAMPT_INSR","Peritoneal Cavity","Spleen","0"
"NAMPT_ITGA5_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"NAMPT_ITGA5_ITGB1","Spleen","Peritoneal Cavity","0"
"ANGPTL2_ITGA5_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"ANGPTL2_ITGA5_ITGB1","Spleen","Peritoneal Cavity","0"
"ANGPTL2_TLR4","Peritoneal Cavity","Peritoneal Cavity","0"
"ANGPTL2_TLR4","Spleen","Peritoneal Cavity","0"
"ANGPTL3_ITGAV_ITGB3","Peritoneal Cavity","Peritoneal Cavity","0"
"ANGPTL3_ITGAV_ITGB3","Peritoneal Cavity","Spleen","0"
"NPFF_NPFFR1","Spleen","Peritoneal Cavity","0.02"
"NPFF_NPFFR1","Spleen","Spleen","0"
"PENK_OPRK1","Spleen","Spleen","0"
"PENK_OPRM1","Spleen","Spleen","0"
"POMC_OPRK1","Spleen","Spleen","0.03"
"POMC_OPRM1","Spleen","Spleen","0"
"TAC4_TACR1","Spleen","Peritoneal Cavity","0.01"
"TAC4_TACR1","Spleen","Spleen","0.01"
"TRY5_F2R","Peritoneal Cavity","Spleen","0"
"CTSG_F2R","Peritoneal Cavity","Spleen","0"
"CTSG_F2R","Spleen","Spleen","0"
"F2_F2R","Spleen","Spleen","0"
"GZMA_F2R","Spleen","Peritoneal Cavity","0.02"
"GZMA_F2R","Spleen","Spleen","0"
"PRSS2_F2R","Spleen","Spleen","0"
"TRY5_F2RL1","Peritoneal Cavity","Spleen","0"
"TRY5_F2RL1","Spleen","Spleen","0.01"
"CTSG_F2RL1","Peritoneal Cavity","Spleen","0"
"CTSG_F2RL1","Spleen","Spleen","0"
"F2_F2RL1","Spleen","Spleen","0"
"GZMA_F2RL1","Spleen","Peritoneal Cavity","0.02"
"GZMA_F2RL1","Spleen","Spleen","0"
"PRSS2_F2RL1","Spleen","Spleen","0"
"TRY5_F2RL2","Peritoneal Cavity","Spleen","0"
"TRY5_F2RL2","Spleen","Spleen","0.02"
"CTSG_F2RL2","Peritoneal Cavity","Spleen","0"
"CTSG_F2RL2","Spleen","Spleen","0"
"F2_F2RL2","Spleen","Spleen","0"
"GZMA_F2RL2","Spleen","Peritoneal Cavity","0.01"
"GZMA_F2RL2","Spleen","Spleen","0"
"PRSS2_F2RL2","Spleen","Spleen","0"
"TRY5_F2RL3","Peritoneal Cavity","Spleen","0"
"TRY5_F2RL3","Spleen","Spleen","0.01"
"CTSG_F2RL3","Peritoneal Cavity","Spleen","0"
"CTSG_F2RL3","Spleen","Spleen","0"
"F2_F2RL3","Spleen","Spleen","0"
"GZMA_F2RL3","Spleen","Peritoneal Cavity","0.02"
"GZMA_F2RL3","Spleen","Spleen","0"
"PRSS2_F2RL3","Spleen","Spleen","0"
"TRY5_PARD3","Peritoneal Cavity","Peritoneal Cavity","0"
"CTSG_PARD3","Peritoneal Cavity","Peritoneal Cavity","0"
"CTSG_PARD3","Spleen","Peritoneal Cavity","0.01"
"CTSG_PARD3","Peritoneal Cavity","Spleen","0"
"F2_PARD3","Spleen","Peritoneal Cavity","0.01"
"GZMA_PARD3","Spleen","Peritoneal Cavity","0"
"GZMA_PARD3","Spleen","Spleen","0.02"
"PRSS2_PARD3","Spleen","Peritoneal Cavity","0"
"PRSS2_PARD3","Spleen","Spleen","0"
"PROK2_PROKR1","Peritoneal Cavity","Peritoneal Cavity","0"
"PROK2_PROKR1","Spleen","Peritoneal Cavity","0"
"PROK2_PROKR1","Peritoneal Cavity","Spleen","0.04"
"KITL_KIT","Peritoneal Cavity","Spleen","0"
"SEMA3A_NRP1_PLXNA1","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA3A_NRP1_PLXNA1","Spleen","Peritoneal Cavity","0"
"SEMA3A_NRP1_PLXNA2","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA3A_NRP1_PLXNA2","Spleen","Peritoneal Cavity","0"
"SEMA3A_NRP1_PLXNA3","Spleen","Peritoneal Cavity","0"
"SEMA3A_NRP1_PLXNA4","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA3A_NRP1_PLXNA4","Spleen","Peritoneal Cavity","0"
"SEMA3D_NRP1_PLXNA1","Peritoneal Cavity","Peritoneal Cavity","0.01"
"SEMA3D_NRP1_PLXNA1","Spleen","Peritoneal Cavity","0"
"SEMA3D_NRP1_PLXNA2","Peritoneal Cavity","Peritoneal Cavity","0.03"
"SEMA3D_NRP1_PLXNA2","Spleen","Peritoneal Cavity","0"
"SEMA3D_NRP1_PLXNA3","Spleen","Peritoneal Cavity","0"
"SEMA3D_NRP1_PLXNA4","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA3D_NRP1_PLXNA4","Spleen","Peritoneal Cavity","0"
"SEMA3D_NRP2_PLXNA1","Spleen","Peritoneal Cavity","0"
"SEMA3D_NRP2_PLXNA2","Spleen","Peritoneal Cavity","0"
"SEMA3D_NRP2_PLXNA3","Spleen","Spleen","0.01"
"SEMA3D_NRP2_PLXNA4","Spleen","Peritoneal Cavity","0"
"SEMA3F_NRP2_PLXNA1","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA3F_NRP2_PLXNA1","Spleen","Peritoneal Cavity","0"
"SEMA3F_NRP2_PLXNA2","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA3F_NRP2_PLXNA2","Spleen","Peritoneal Cavity","0"
"SEMA3F_NRP2_PLXNA3","Peritoneal Cavity","Spleen","0.01"
"SEMA3F_NRP2_PLXNA4","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA3F_NRP2_PLXNA4","Spleen","Peritoneal Cavity","0"
"SEMA3G_NRP2_PLXNA1","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA3G_NRP2_PLXNA1","Spleen","Peritoneal Cavity","0"
"SEMA3G_NRP2_PLXNA2","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA3G_NRP2_PLXNA2","Spleen","Peritoneal Cavity","0"
"SEMA3G_NRP2_PLXNA3",NA,NA,NA
"SEMA3G_NRP2_PLXNA3","SEMA3G_NRP2_PLXNA3","SEMA3G_NRP2_PLXNA3","SEMA3G_NRP2_PLXNA3"
"SEMA3G_NRP2_PLXNA4","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA3G_NRP2_PLXNA4","Spleen","Peritoneal Cavity","0"
"GAS6_AXL","Peritoneal Cavity","Peritoneal Cavity","0"
"GAS6_AXL","Spleen","Peritoneal Cavity","0"
"GAS6_TYRO3","Peritoneal Cavity","Spleen","0"
"GH_GHR","Peritoneal Cavity","Peritoneal Cavity","0"
"GH_GHR","Spleen","Peritoneal Cavity","0"
"GH_PRLR","Spleen","Spleen","0"
"INSL3_RXFP1","Spleen","Spleen","0"
"INSL3_RXFP4","Spleen","Spleen","0"
"RLN3_RXFP1","Spleen","Spleen","0"
"RLN3_RXFP4","Spleen","Spleen","0"
"COL1A1_ITGA2_ITGB1","Peritoneal Cavity","Spleen","0.02"
"COL1A1_ITGA2_ITGB1","Spleen","Spleen","0.02"
"COL4A1_ITGA2_ITGB1","Peritoneal Cavity","Spleen","0"
"COL4A1_ITGA2_ITGB1","Spleen","Spleen","0.02"
"COL4A3_ITGA2_ITGB1","Peritoneal Cavity","Spleen","0.01"
"COL4A3_ITGA2_ITGB1","Spleen","Spleen","0.02"
"COL4A5_ITGA2_ITGB1","Peritoneal Cavity","Spleen","0"
"COL4A5_ITGA2_ITGB1","Spleen","Spleen","0.02"
"COL4A6_ITGA2_ITGB1","Peritoneal Cavity","Spleen","0.04"
"COL4A6_ITGA2_ITGB1","Spleen","Spleen","0.02"
"COL9A1_ITGA2_ITGB1","Peritoneal Cavity","Spleen","0.02"
"COL9A1_ITGA2_ITGB1","Spleen","Spleen","0.02"
"COL9A3_ITGA2_ITGB1","Spleen","Spleen","0.02"
"LAMA2_ITGA2_ITGB1","Spleen","Spleen","0.02"
"LAMA3_ITGA2_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0.02"
"LAMA3_ITGA2_ITGB1","Peritoneal Cavity","Spleen","0"
"LAMA5_ITGA2_ITGB1","Spleen","Spleen","0.02"
"LAMB1_ITGA2_ITGB1","Peritoneal Cavity","Spleen","0.02"
"LAMB1_ITGA2_ITGB1","Spleen","Spleen","0.02"
"LAMB2_ITGA2_ITGB1","Peritoneal Cavity","Spleen","0"
"LAMB2_ITGA2_ITGB1","Spleen","Spleen","0.03"
"LAMB3_ITGA2_ITGB1","Spleen","Spleen","0.02"
"LAMC1_ITGA2_ITGB1","Peritoneal Cavity","Spleen","0.01"
"LAMC3_ITGA2_ITGB1","Peritoneal Cavity","Spleen","0.02"
"LAMC3_ITGA2_ITGB1","Spleen","Spleen","0.02"
"CHAD_ITGA2_ITGB1","Spleen","Spleen","0.02"
"LAMA2_ITGA3_ITGB1",NA,NA,NA
"LAMA2_ITGA3_ITGB1","LAMA2_ITGA3_ITGB1","LAMA2_ITGA3_ITGB1","LAMA2_ITGA3_ITGB1"
"LAMA3_ITGA3_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMA3_ITGA3_ITGB1","Peritoneal Cavity","Spleen","0"
"LAMA5_ITGA3_ITGB1",NA,NA,NA
"LAMA5_ITGA3_ITGB1","LAMA5_ITGA3_ITGB1","LAMA5_ITGA3_ITGB1","LAMA5_ITGA3_ITGB1"
"LAMB1_ITGA3_ITGB1",NA,NA,NA
"LAMB1_ITGA3_ITGB1","LAMB1_ITGA3_ITGB1","LAMB1_ITGA3_ITGB1","LAMB1_ITGA3_ITGB1"
"LAMB2_ITGA3_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0.02"
"LAMB2_ITGA3_ITGB1","Peritoneal Cavity","Spleen","0"
"LAMB3_ITGA3_ITGB1","Spleen","Spleen","0.03"
"LAMC1_ITGA3_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0.01"
"LAMC1_ITGA3_ITGB1","Peritoneal Cavity","Spleen","0"
"LAMC3_ITGA3_ITGB1",NA,NA,NA
"LAMC3_ITGA3_ITGB1","LAMC3_ITGA3_ITGB1","LAMC3_ITGA3_ITGB1","LAMC3_ITGA3_ITGB1"
"RELN_ITGA3_ITGB1",NA,NA,NA
"RELN_ITGA3_ITGB1","RELN_ITGA3_ITGB1","RELN_ITGA3_ITGB1","RELN_ITGA3_ITGB1"
"THBS3_ITGA3_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"THBS3_ITGA3_ITGB1","Peritoneal Cavity","Spleen","0"
"COL1A1_ITGA3_ITGB1",NA,NA,NA
"COL1A1_ITGA3_ITGB1","COL1A1_ITGA3_ITGB1","COL1A1_ITGA3_ITGB1","COL1A1_ITGA3_ITGB1"
"COL4A1_ITGA3_ITGB1",NA,NA,NA
"COL4A1_ITGA3_ITGB1","COL4A1_ITGA3_ITGB1","COL4A1_ITGA3_ITGB1","COL4A1_ITGA3_ITGB1"
"COL4A3_ITGA3_ITGB1",NA,NA,NA
"COL4A3_ITGA3_ITGB1","COL4A3_ITGA3_ITGB1","COL4A3_ITGA3_ITGB1","COL4A3_ITGA3_ITGB1"
"COL4A5_ITGA3_ITGB1","Peritoneal Cavity","Spleen","0.01"
"COL4A6_ITGA3_ITGB1",NA,NA,NA
"COL4A6_ITGA3_ITGB1","COL4A6_ITGA3_ITGB1","COL4A6_ITGA3_ITGB1","COL4A6_ITGA3_ITGB1"
"COL9A1_ITGA3_ITGB1",NA,NA,NA
"COL9A1_ITGA3_ITGB1","COL9A1_ITGA3_ITGB1","COL9A1_ITGA3_ITGB1","COL9A1_ITGA3_ITGB1"
"COL9A3_ITGA3_ITGB1",NA,NA,NA
"COL9A3_ITGA3_ITGB1","COL9A3_ITGA3_ITGB1","COL9A3_ITGA3_ITGB1","COL9A3_ITGA3_ITGB1"
"LAMA2_ITGA7_ITGB1","Spleen","Peritoneal Cavity","0"
