"interaction","cell1","cell2","p-value"
"LAMA3_ITGA7_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMA3_ITGA7_ITGB1","Peritoneal Cavity","Spleen","0"
"LAMA5_ITGA7_ITGB1","Spleen","Peritoneal Cavity","0"
"LAMB1_ITGA7_ITGB1","Spleen","Peritoneal Cavity","0"
"LAMB2_ITGA7_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMB2_ITGA7_ITGB1","Spleen","Peritoneal Cavity","0"
"LAMB2_ITGA7_ITGB1","Peritoneal Cavity","Spleen","0.03"
"LAMB3_ITGA7_ITGB1","Spleen","Peritoneal Cavity","0"
"LAMC1_ITGA7_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMC3_ITGA7_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMC3_ITGA7_ITGB1","Spleen","Peritoneal Cavity","0"
"TNN_ITGA8_ITGB1","Spleen","Peritoneal Cavity","0"
"TNXB_ITGA8_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"TNXB_ITGA8_ITGB1","Peritoneal Cavity","Spleen","0.02"
"NPNT1_ITGA8_ITGB1","Spleen","Peritoneal Cavity","0"
"NPNT2_ITGA8_ITGB1","Spleen","Peritoneal Cavity","0"
"TNN_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"TNN_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"TNXB_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"TNXB_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"COL1A1_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL1A1_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"COL4A1_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL4A1_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"COL4A3_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL4A3_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"COL4A5_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL4A5_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"COL4A6_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL4A6_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"COL9A1_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL9A1_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"COL9A3_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL9A3_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"LAMA2_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMA2_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"LAMA3_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMA3_ITGA9_ITGB1","Peritoneal Cavity","Spleen","0"
"LAMA5_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMA5_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"LAMB1_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMB1_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"LAMB2_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMB2_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"LAMB3_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"LAMC1_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMC1_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"LAMC3_ITGA9_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMC3_ITGA9_ITGB1","Spleen","Peritoneal Cavity","0"
"COL1A1_ITGA10_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0.03"
"COL1A1_ITGA10_ITGB1","Spleen","Peritoneal Cavity","0"
"COL4A1_ITGA10_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL4A3_ITGA10_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL4A5_ITGA10_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL4A5_ITGA10_ITGB1","Peritoneal Cavity","Spleen","0.02"
"COL4A6_ITGA10_ITGB1","Spleen","Peritoneal Cavity","0"
"COL9A1_ITGA10_ITGB1","Spleen","Peritoneal Cavity","0.01"
"COL9A3_ITGA10_ITGB1","Spleen","Peritoneal Cavity","0"
"COL1A1_ITGA11_ITGB1","Spleen","Peritoneal Cavity","0"
"COL4A1_ITGA11_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL4A3_ITGA11_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL4A5_ITGA11_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"COL4A5_ITGA11_ITGB1","Peritoneal Cavity","Spleen","0.02"
"COL4A6_ITGA11_ITGB1","Spleen","Peritoneal Cavity","0"
"COL9A1_ITGA11_ITGB1","Spleen","Peritoneal Cavity","0"
"COL9A3_ITGA11_ITGB1","Spleen","Peritoneal Cavity","0"
"DSPP_ITGAV_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"DSPP_ITGAV_ITGB1","Spleen","Peritoneal Cavity","0"
"VWF_ITGAV_ITGB3","Peritoneal Cavity","Peritoneal Cavity","0"
"VWF_ITGAV_ITGB3","Peritoneal Cavity","Spleen","0"
"TNN_ITGAV_ITGB3","Spleen","Spleen","0"
"TNXB_ITGAV_ITGB3","Peritoneal Cavity","Peritoneal Cavity","0"
"TNXB_ITGAV_ITGB3","Peritoneal Cavity","Spleen","0"
"THBS3_ITGAV_ITGB3","Peritoneal Cavity","Peritoneal Cavity","0"
"THBS3_ITGAV_ITGB3","Peritoneal Cavity","Spleen","0"
"VWF_ITGA2B_ITGB3","Peritoneal Cavity","Spleen","0"
"TNN_ITGA2B_ITGB3","Spleen","Spleen","0"
"TNXB_ITGA2B_ITGB3","Peritoneal Cavity","Spleen","0"
"TNN_ITGAV_ITGB6","Spleen","Peritoneal Cavity","0"
"TNN_ITGAV_ITGB6","Spleen","Spleen","0"
"TNXB_ITGAV_ITGB6","Peritoneal Cavity","Peritoneal Cavity","0"
"TNXB_ITGAV_ITGB6","Peritoneal Cavity","Spleen","0"
"DSPP_ITGAV_ITGB6",NA,NA,NA
"DSPP_ITGAV_ITGB6","DSPP_ITGAV_ITGB6","DSPP_ITGAV_ITGB6","DSPP_ITGAV_ITGB6"
"LAMA2_ITGAV_ITGB8","Spleen","Spleen","0"
"LAMA3_ITGAV_ITGB8","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMA3_ITGAV_ITGB8","Peritoneal Cavity","Spleen","0"
"LAMA5_ITGAV_ITGB8","Spleen","Spleen","0"
"LAMB1_ITGAV_ITGB8","Spleen","Spleen","0"
"LAMB2_ITGAV_ITGB8","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMB2_ITGAV_ITGB8","Peritoneal Cavity","Spleen","0"
"LAMB3_ITGAV_ITGB8","Spleen","Spleen","0"
"LAMC1_ITGAV_ITGB8","Peritoneal Cavity","Peritoneal Cavity","0.01"
"LAMC1_ITGAV_ITGB8","Peritoneal Cavity","Spleen","0"
"LAMC3_ITGAV_ITGB8","Spleen","Spleen","0.01"
"COL1A1_ITGAV_ITGB8","Spleen","Spleen","0"
"COL4A1_ITGAV_ITGB8","Peritoneal Cavity","Spleen","0"
"COL4A3_ITGAV_ITGB8","Peritoneal Cavity","Spleen","0.01"
"COL4A5_ITGAV_ITGB8","Peritoneal Cavity","Spleen","0"
"COL4A6_ITGAV_ITGB8","Spleen","Spleen","0"
"COL9A1_ITGAV_ITGB8","Spleen","Spleen","0"
"COL9A3_ITGAV_ITGB8","Spleen","Spleen","0"
"LAMA2_SV2A","Spleen","Spleen","0"
"LAMA3_SV2A","Peritoneal Cavity","Spleen","0"
"LAMA5_SV2A","Spleen","Spleen","0"
"LAMB1_SV2A","Spleen","Spleen","0"
"LAMB2_SV2A","Peritoneal Cavity","Spleen","0"
"LAMB3_SV2A","Spleen","Spleen","0"
"LAMC1_SV2A","Peritoneal Cavity","Spleen","0"
"LAMC3_SV2A","Spleen","Spleen","0"
"LAMA2_SV2C","Spleen","Spleen","0"
"LAMA3_SV2C","Peritoneal Cavity","Spleen","0"
"LAMA5_SV2C","Spleen","Spleen","0"
"LAMB1_SV2C","Spleen","Spleen","0"
"LAMB2_SV2C","Peritoneal Cavity","Spleen","0"
"LAMB3_SV2C","Spleen","Spleen","0"
"LAMC1_SV2C","Peritoneal Cavity","Spleen","0"
"LAMC3_SV2C","Spleen","Spleen","0"
"VWF_GP1BA_GP1BB_GP5_GP9","Peritoneal Cavity","Peritoneal Cavity","0"
"VWF_GP1BA_GP1BB_GP5_GP9","Peritoneal Cavity","Spleen","0"
"AGRN_DAG1","Peritoneal Cavity","Peritoneal Cavity","0"
"AGRN_DAG1","Spleen","Peritoneal Cavity","0"
"AGRN_DAG1","Peritoneal Cavity","Spleen","0"
"HSPG2_DAG1","Peritoneal Cavity","Peritoneal Cavity","0"
"HSPG2_DAG1","Spleen","Peritoneal Cavity","0"
"LAMA2_DAG1","Spleen","Peritoneal Cavity","0"
"LAMA3_DAG1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMA3_DAG1","Peritoneal Cavity","Spleen","0"
"LAMA5_DAG1","Spleen","Peritoneal Cavity","0"
"LAMB1_DAG1","Spleen","Peritoneal Cavity","0"
"LAMB2_DAG1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMB2_DAG1","Peritoneal Cavity","Spleen","0"
"LAMB3_DAG1","Spleen","Peritoneal Cavity","0"
"LAMB3_DAG1","Spleen","Spleen","0"
"LAMC1_DAG1","Peritoneal Cavity","Peritoneal Cavity","0"
"LAMC1_DAG1","Peritoneal Cavity","Spleen","0"
"LAMC3_DAG1","Peritoneal Cavity","Peritoneal Cavity","0.04"
"LAMC3_DAG1","Spleen","Peritoneal Cavity","0"
"ALCAM_CD6","Peritoneal Cavity","Spleen","0"
"BST2_PIRA2","Peritoneal Cavity","Peritoneal Cavity","0"
"BST2_PIRA2","Spleen","Peritoneal Cavity","0"
"CADM1_CADM1","Peritoneal Cavity","Peritoneal Cavity","0"
"CADM1_CADM1","Spleen","Peritoneal Cavity","0.01"
"CADM1_CADM1","Peritoneal Cavity","Spleen","0.01"
"CADM3_CADM3","Spleen","Spleen","0"
"CD1D2_PIRA2","Spleen","Peritoneal Cavity","0"
"CD200_CD200R1","Spleen","Peritoneal Cavity","0"
"CD200_CD200R3","Spleen","Peritoneal Cavity","0"
"CD200_CD200R3","Spleen","Spleen","0"
"CD200_CD200R4","Spleen","Peritoneal Cavity","0"
"CD200_CD200R4","Spleen","Spleen","0"
"CD226_NECTIN2","Spleen","Peritoneal Cavity","0"
"CD226_PVR","Spleen","Peritoneal Cavity","0"
"FCER2A_ITGAX_ITGB2","Spleen","Spleen","0.02"
"FCER2A_ITGAV_ITGB3","Spleen","Spleen","0"
"CD40LG_CD40","Spleen","Peritoneal Cavity","0"
"CD40LG_CD40","Spleen","Spleen","0"
"CD46_JAG1","Peritoneal Cavity","Peritoneal Cavity","0"
"CD46_JAG1","Spleen","Peritoneal Cavity","0"
"CD6_ALCAM","Spleen","Peritoneal Cavity","0"
"CD80_CD274","Peritoneal Cavity","Peritoneal Cavity","0.01"
"CD80_CD274","Peritoneal Cavity","Spleen","0"
"CD80_CD28","Peritoneal Cavity","Spleen","0"
"CD86_CD28","Peritoneal Cavity","Spleen","0"
"CD96_NECTIN1","Spleen","Peritoneal Cavity","0"
"CD96_PVR","Spleen","Peritoneal Cavity","0"
"CD1D1_CEACAM5","Spleen","Spleen","0"
"CD8A_CEACAM5","Spleen","Spleen","0"
"CLEC2D_KLRB1B","Peritoneal Cavity","Spleen","0.02"
"CLEC2D_KLRB1B","Spleen","Spleen","0"
"CLEC2G_KLRB1","Peritoneal Cavity","Spleen","0"
"CLEC2G_KLRB1","Spleen","Spleen","0.02"
"CLEC2I_KLRB1","Peritoneal Cavity","Spleen","0.02"
"CLEC2I_KLRB1","Spleen","Spleen","0"
"CLEC2G_KLRB1F","Peritoneal Cavity","Spleen","0"
"CLEC2G_KLRB1F","Spleen","Spleen","0.02"
"CLEC2I_KLRB1F","Peritoneal Cavity","Spleen","0.02"
"CLEC2I_KLRB1F","Spleen","Spleen","0"
"CNTN2_CNTN2_CNTNAP2","Spleen","Spleen","0"
"CNTN2_L1CAM","Peritoneal Cavity","Spleen","0.01"
"CNTN2_L1CAM","Spleen","Spleen","0"
"CNTN2_CNTN2","Spleen","Spleen","0"
"CNTN1_NRCAM","Peritoneal Cavity","Spleen","0.01"
"CNTN1_NRCAM","Spleen","Spleen","0"
"EFNB2_EPHA4","Peritoneal Cavity","Peritoneal Cavity","0"
"EFNB2_EPHB1","Peritoneal Cavity","Peritoneal Cavity","0"
"EFNB2_EPHB1","Peritoneal Cavity","Spleen","0"
"EFNB3_EPHA4","Peritoneal Cavity","Peritoneal Cavity","0"
"EFNB3_EPHA4","Spleen","Peritoneal Cavity","0"
"EFNB3_EPHB1","Spleen","Spleen","0"
"EFNB3_EPHB6","Spleen","Spleen","0"
"ICAM1_ITGAX_ITGB2",NA,NA,NA
"ICAM1_ITGAX_ITGB2","ICAM1_ITGAX_ITGB2","ICAM1_ITGAX_ITGB2","ICAM1_ITGAX_ITGB2"
"ICAM1_ITGAL_ITGB2",NA,NA,NA
"ICAM1_ITGAL_ITGB2","ICAM1_ITGAL_ITGB2","ICAM1_ITGAL_ITGB2","ICAM1_ITGAL_ITGB2"
"ICAM1_ITGAL_ITGB2L","Spleen","Spleen","0"
"ICAM1_ITGAM_ITGB2L","Spleen","Peritoneal Cavity","0"
"ICAM1_ITGAL","Peritoneal Cavity","Spleen","0.02"
"ICAM1_ITGAL","Spleen","Spleen","0"
"ICAM1_SPN","Spleen","Spleen","0"
"ITGB2_CD226",NA,NA,NA
"ITGB2_CD226","ITGB2_CD226","ITGB2_CD226","ITGB2_CD226"
"ITGB2_ICAM1",NA,NA,NA
"ITGB2_ICAM1","ITGB2_ICAM1","ITGB2_ICAM1","ITGB2_ICAM1"
"ITGB2L_CD226","Spleen","Spleen","0"
"ITGB2L_ICAM1","Spleen","Spleen","0"
"JAM2_ITGA3_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"JAM2_ITGA3_ITGB1","Peritoneal Cavity","Spleen","0"
"JAM2_ITGAV_ITGB1","Peritoneal Cavity","Peritoneal Cavity","0"
"JAM2_ITGAV_ITGB1","Peritoneal Cavity","Spleen","0"
"JAM2_JAM2","Peritoneal Cavity","Peritoneal Cavity","0"
"L1CAM_ITGAV_ITGB3","Spleen","Peritoneal Cavity","0.04"
"L1CAM_ITGAV_ITGB3","Spleen","Spleen","0"
"L1CAM_L1CAM","Spleen","Spleen","0"
"LAIR1_PIRA2","Peritoneal Cavity","Peritoneal Cavity","0"
"LAIR1_PIRA2","Spleen","Peritoneal Cavity","0"
"LCK_CD8A_CD8B1","Spleen","Spleen","0"
"MAG_MAG","Spleen","Peritoneal Cavity","0"
"MAG_MAG","Peritoneal Cavity","Spleen","0"
"MAG_MAG","Spleen","Spleen","0.02"
"H2-M3_CD8A","Spleen","Spleen","0"
"H2-M9_CD8A","Spleen","Spleen","0"
"H2-Q10_CD8A","Spleen","Spleen","0"
"H2-Q2_CD8A","Spleen","Spleen","0"
"H2-Q7_CD8A","Spleen","Spleen","0"
"H2-T22_CD8A","Spleen","Spleen","0"
"H2-M1_CD8A","Spleen","Spleen","0"
"H2-T10_CD8A","Spleen","Spleen","0"
"H2-Q6_CD8A","Spleen","Peritoneal Cavity","0.04"
"H2-Q6_CD8A","Spleen","Spleen","0"
"GM10499_CD8A","Peritoneal Cavity","Peritoneal Cavity","0"
"GM10499_CD8A","Peritoneal Cavity","Spleen","0"
"H2-Q4_CD8A","Spleen","Spleen","0"
"H2-T-PS_CD8A","Spleen","Spleen","0"
"GM7030_CD8A","Spleen","Spleen","0"
"H2-M3_CD8B1","Spleen","Spleen","0"
"H2-M9_CD8B1","Spleen","Spleen","0"
"H2-Q10_CD8B1","Spleen","Spleen","0"
"H2-Q2_CD8B1","Spleen","Spleen","0"
"H2-Q7_CD8B1","Spleen","Spleen","0"
"H2-T22_CD8B1","Spleen","Spleen","0"
"H2-M1_CD8B1","Spleen","Spleen","0"
"H2-T10_CD8B1","Spleen","Spleen","0"
"H2-Q6_CD8B1","Spleen","Spleen","0"
"GM10499_CD8B1","Peritoneal Cavity","Spleen","0"
"H2-Q4_CD8B1","Spleen","Spleen","0"
"H2-T-PS_CD8B1","Spleen","Spleen","0"
"GM7030_CD8B1","Spleen","Spleen","0"
"ULBP1_KLRK1","Peritoneal Cavity","Spleen","0"
"ULBP1_KLRK1","Spleen","Spleen","0.02"
"H2-AA_CD4","Spleen","Spleen","0"
"H2-EB1_CD4","Spleen","Spleen","0"
"H2-DMA_CD4","Peritoneal Cavity","Spleen","0.03"
"H2-DMA_CD4","Spleen","Spleen","0"
"H2-DMB1_CD4","Peritoneal Cavity","Spleen","0.02"
"H2-DMB1_CD4","Spleen","Spleen","0"
"H2-DMB2_CD4","Spleen","Spleen","0"
"H2-OA_CD4","Spleen","Spleen","0"
"H2-OB_CD4","Spleen","Spleen","0"
"NECTIN1_CADM3","Peritoneal Cavity","Peritoneal Cavity","0"
"NECTIN1_CADM3","Peritoneal Cavity","Spleen","0"
"NECTIN1_CD96","Peritoneal Cavity","Spleen","0"
"NECTIN1_NECTIN4","Peritoneal Cavity","Peritoneal Cavity","0"
"NECTIN1_NECTIN4","Spleen","Peritoneal Cavity","0"
"NECTIN2_CD226","Peritoneal Cavity","Spleen","0"
"NECTIN2_TIGIT","Peritoneal Cavity","Spleen","0"
"ULBP1_KLRK1_HCST","Peritoneal Cavity","Spleen","0"
"ULBP1_KLRK1_HCST","Spleen","Spleen","0.02"
"DLL1_NOTCH3","Spleen","Peritoneal Cavity","0.04"
"DLL1_NOTCH3","Spleen","Spleen","0"
"DLL1_NOTCH4","Spleen","Spleen","0"
"JAG1_NOTCH3","Peritoneal Cavity","Peritoneal Cavity","0"
"JAG1_NOTCH3","Peritoneal Cavity","Spleen","0"
"JAG1_NOTCH4","Peritoneal Cavity","Peritoneal Cavity","0"
"JAG1_NOTCH4","Peritoneal Cavity","Spleen","0"
"JAG2_NOTCH3","Spleen","Peritoneal Cavity","0.01"
"JAG2_NOTCH3","Spleen","Spleen","0"
"JAG2_NOTCH4","Spleen","Spleen","0"
"NRXN1_NLGN1","Spleen","Spleen","0"
"NRXN1_NLGN2","Spleen","Spleen","0"
"NRXN1_NLGN3","Spleen","Spleen","0"
"NRXN3_NLGN1","Spleen","Spleen","0"
"NRXN3_NLGN2","Spleen","Spleen","0"
"NRXN3_NLGN3","Spleen","Spleen","0"
"OCLN_OCLN","Peritoneal Cavity","Peritoneal Cavity","0"
"CD274_PDCD1","Spleen","Spleen","0"
"PDCD1LG2_PDCD1","Spleen","Spleen","0"
"PECAM1_PECAM1","Spleen","Spleen","0"
"PTPRM_PTPRM","Peritoneal Cavity","Peritoneal Cavity","0"
"PVR_CD226","Peritoneal Cavity","Spleen","0"
"PVR_TIGIT","Peritoneal Cavity","Spleen","0"
"PVR_TIGIT","Spleen","Spleen","0.01"
"SELE_GLG1","Spleen","Peritoneal Cavity","0"
"SELE_GLG1","Spleen","Spleen","0"
"SELL_GLYCAM1","Spleen","Peritoneal Cavity","0"
"SELL_GLYCAM1","Spleen","Spleen","0"
"SELL_MADCAM1","Spleen","Peritoneal Cavity","0"
"SELL_MADCAM1","Spleen","Spleen","0"
"SEMA4A_NRP1_PLXNA1","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA4A_NRP1_PLXNA1","Spleen","Peritoneal Cavity","0"
"SEMA4A_NRP1_PLXNA2","Spleen","Peritoneal Cavity","0"
"SEMA4A_NRP1_PLXNA3","Spleen","Peritoneal Cavity","0"
"SEMA4A_NRP1_PLXNA4","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA4A_NRP1_PLXNA4","Spleen","Peritoneal Cavity","0"
"SEMA4A_PLXNB1","Spleen","Spleen","0"
"SEMA4A_PLXNB3","Spleen","Peritoneal Cavity","0"
"SEMA4D_PLXNB1","Spleen","Spleen","0"
"SEMA4D_PLXNB3","Spleen","Peritoneal Cavity","0"
"SEMA4D_CD72","Spleen","Spleen","0"
"SEMA5A_PLXNA1","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA5A_PLXNA1","Spleen","Peritoneal Cavity","0"
"SEMA5A_PLXNA3","Peritoneal Cavity","Spleen","0"
"SEMA5A_PLXNB3","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA5A_PLXNB3","Spleen","Peritoneal Cavity","0"
"SEMA6D_PLXNA1_KDR","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA6D_PLXNA1_KDR","Peritoneal Cavity","Spleen","0"
"SEMA6D_PLXNA1_TREM2","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA6D_PLXNA1_TREM2","Spleen","Peritoneal Cavity","0"
"SEMA6D_PLXNA1","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA6D_PLXNA1","Spleen","Peritoneal Cavity","0"
"SEMA6A_PLXNA2","Spleen","Peritoneal Cavity","0"
"SEMA6B_PLXNA2","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA6B_PLXNA2","Peritoneal Cavity","Spleen","0"
"SEMA6A_PLXNA4","Peritoneal Cavity","Peritoneal Cavity","0.01"
"SEMA6A_PLXNA4","Spleen","Peritoneal Cavity","0"
"SEMA6B_PLXNA4","Peritoneal Cavity","Peritoneal Cavity","0"
"SEMA7A_PLXNC1","Spleen","Peritoneal Cavity","0.01"
"SEMA7A_PLXNC1","Spleen","Spleen","0"
"SIGLEC1_SPN","Peritoneal Cavity","Spleen","0"
"THY1_ITGAX_ITGB2",NA,NA,NA
"THY1_ITGAX_ITGB2","THY1_ITGAX_ITGB2","THY1_ITGAX_ITGB2","THY1_ITGAX_ITGB2"
"THY1_ITGAV_ITGB3","Spleen","Spleen","0.01"
"TIGIT_NECTIN2","Spleen","Peritoneal Cavity","0"
"TIGIT_PVR","Spleen","Peritoneal Cavity","0"
"TIGIT_PVR","Spleen","Spleen","0.01"
